Quantity,product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
7525,230,2671,2,Nihil.,GamesSportsComputersComputersHealth,06.06.2023,28.09.2023 16:09:17,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Generic Fresh Chips,True,0,Fantastic
5720,529,5162,5,Vel.,OutdoorsGroceryOutdoorsGames,01.06.2023,28.09.2023 21:05:11,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Small Plastic Shoes,True,0,Tasty
9733,872,6418,0,Sed.,GroceryGrocery,18.12.2022,28.09.2023 21:21:12,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handmade Frozen Sausages,True,0,Generic
8039,725,9388,5,Ut.,ShoesOutdoors,23.06.2023,28.09.2023 12:28:46,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Fantastic Concrete Hat,True,0,Generic
6467,568,384,3,Nam.,BabyMoviesBabyMusicJewelery,06.04.2023,28.09.2023 13:25:44,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Handmade Metal Mouse,True,0,Licensed
4315,222,6437,0,Voluptatem.,HomeHealthClothingHealthAutomotive,14.01.2023,28.09.2023 01:30:04,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Handmade Fresh Bike,True,0,Sleek
3959,69,2527,3,Rem.,ToysMusicShoes,16.06.2023,28.09.2023 17:26:10,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Intelligent Concrete Pants,True,0,Unbranded
536,399,3833,3,Qui.,BabyShoes,22.04.2023,28.09.2023 00:16:54,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Licensed Fresh Chair,True,0,Licensed
1249,615,2818,4,Quisquam.,SportsHomeComputersGroceryToys,16.01.2023,28.09.2023 06:53:57,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Sleek Granite Towels,True,0,Licensed
5167,868,3729,4,Quod.,IndustrialGames,08.03.2023,28.09.2023 16:49:37,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Practical Metal Gloves,True,0,Handmade
3201,637,2141,0,Sapiente.,GamesOutdoorsHealthAutomotive,17.05.2023,28.09.2023 03:13:42,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Tasty Wooden Shoes,True,0,Fantastic
9321,234,5971,3,Debitis.,Industrial,07.08.2023,28.09.2023 14:37:04,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Gorgeous Wooden Tuna,True,0,Gorgeous
8427,190,2520,3,Magnam.,BabyBeautyIndustrialClothingAutomotive,13.01.2023,28.09.2023 18:07:20,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Handcrafted Granite Shoes,True,0,Ergonomic
662,882,1055,1,Et.,ElectronicsToys,11.05.2023,28.09.2023 23:25:45,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handmade Rubber Hat,True,0,Licensed
8408,46,929,5,Quo.,SportsMoviesGamesGroceryClothing,15.05.2023,28.09.2023 22:53:41,The Football Is Good For Training And Recreational Purposes,Licensed Frozen Gloves,True,0,Intelligent
