product_id,seller_id,data,qty_reserved,qty_available,created_at,active,order_count,updated_at,ytd
0,0,Ut nam autem.,0,639,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
1,0,Voluptatem minus eligendi velit vero quia non quos.,0,383,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
2,0,Alias eos beatae dicta provident sed autem sit sit.,0,121,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
3,0,Nihil nesciunt delectus.,0,413,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
4,0,Expedita magni provident repudiandae est fugiat et molestiae cum nesciunt.,0,685,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
5,0,Aut recusandae quisquam.,0,311,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
6,0,Ducimus dolores vitae.,0,888,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
7,0,Illum dolores aut facilis enim.,0,704,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
8,0,Sit quasi in consequuntur voluptas voluptatum ab.,0,577,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
9,0,Nisi quaerat explicabo animi alias et aut repellendus aperiam.,0,85,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
10,0,Omnis et tempora iure quisquam fugit qui.,0,620,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
11,0,Consequuntur delectus molestiae dolore magnam aut placeat.,0,727,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
12,0,Id aut qui id nostrum vero.,0,282,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
13,0,Magni et id dicta.,0,148,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
14,0,Non nesciunt quis aut eius.,0,282,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
15,0,Dolor et est ea sed molestias.,0,717,11/09/2023 12:49:35,True,0,11/09/2023 12:49:35,0
