product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,5896,5,A.,SportsToysToysOutdoorsSports,20-06-2023,08-11-2023 18:07:00,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Intelligent Plastic Mouse,True,0,Unbranded
1,6434,0,Omnis.,GamesOutdoorsSports,11-12-2022,08-11-2023 23:28:57,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergonomic Frozen Shoes,True,0,Gorgeous
2,5646,4,Quo.,BooksGroceryBooksElectronicsGames,15-09-2023,09-11-2023 12:41:31,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Intelligent Cotton Sausages,True,0,Handcrafted
3,3906,4,Temporibus.,KidsGamesGroceryComputers,03-01-2023,08-11-2023 17:42:42,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Refined Granite Cheese,True,0,Incredible
4,6488,4,Aliquam.,ShoesBabyJeweleryIndustrial,14-08-2023,08-11-2023 17:11:21,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Generic Steel Bacon,True,0,Handcrafted
5,8707,3,Iure.,ElectronicsJewelery,29-01-2023,09-11-2023 08:39:32,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Tasty Concrete Pants,True,0,Licensed
6,1879,2,Nulla.,BooksMusicKidsOutdoors,22-07-2023,08-11-2023 21:39:45,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Refined Wooden Car,True,0,Intelligent
7,4438,3,Aperiam.,Baby,02-10-2023,09-11-2023 10:40:43,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Practical Cotton Car,True,0,Sleek
8,7744,0,Natus.,Kids,05-11-2023,09-11-2023 05:14:46,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Fantastic Concrete Pizza,True,0,Refined
9,4124,2,Nulla.,Home,23-10-2023,08-11-2023 15:01:40,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Awesome Frozen Mouse,True,0,Tasty
10,558,1,Nam.,Home,31-08-2023,08-11-2023 15:47:31,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Generic Steel Chips,True,0,Awesome
11,73,1,Aperiam.,ClothingGamesToys,29-12-2022,08-11-2023 19:29:31,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Tasty Rubber Chicken,True,0,Handcrafted
12,8087,1,Ex.,HealthGroceryClothing,07-04-2023,09-11-2023 06:22:35,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Incredible Plastic Table,True,0,Small
13,4152,3,Veniam.,ToysGrocerySportsGamesGames,16-11-2022,08-11-2023 20:31:44,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Licensed Frozen Table,True,0,Fantastic
14,8738,1,Sed.,KidsToysIndustrialOutdoorsGames,15-12-2022,09-11-2023 07:22:58,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Incredible Soft Soap,True,0,Handmade
