product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,6046,0,Sed.,Kids,14.04.2023,10.11.2023 13:14:28,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Intelligent Cotton Car,True,0,Practical
1,8236,4,Veniam.,GardenElectronicsKidsBabyShoes,20.12.2022,09.11.2023 16:41:54,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Incredible Cotton Car,True,0,Incredible
2,1228,3,Non.,ToysBeautyToysIndustrial,03.04.2023,09.11.2023 17:54:09,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Incredible Concrete Gloves,True,0,Refined
3,4497,5,Itaque.,MoviesOutdoors,19.04.2023,09.11.2023 18:59:21,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Unbranded Metal Hat,True,0,Generic
4,8723,5,Excepturi.,Tools,07.08.2023,10.11.2023 03:51:35,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Sleek Rubber Computer,True,0,Intelligent
5,8681,3,Dignissimos.,Books,30.10.2023,10.11.2023 01:35:11,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Gorgeous Fresh Bike,True,0,Sleek
6,1577,0,Ut.,ToolsMoviesBabyOutdoors,19.01.2023,10.11.2023 01:49:50,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Licensed Granite Chicken,True,0,Handmade
7,993,4,Adipisci.,ElectronicsBooksGardenGrocery,24.12.2022,09.11.2023 15:39:23,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Intelligent Concrete Hat,True,0,Refined
8,130,3,Nihil.,BabyMusicIndustrial,24.10.2023,10.11.2023 00:35:33,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Fresh Mouse,True,0,Licensed
9,2165,0,Totam.,HomeIndustrialMusicBooksMusic,26.12.2022,09.11.2023 14:52:09,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Incredible Rubber Computer,True,0,Rustic
10,5018,1,Numquam.,ToysGroceryKidsElectronicsBeauty,14.02.2023,10.11.2023 09:06:28,The Football Is Good For Training And Recreational Purposes,Gorgeous Metal Salad,True,0,Fantastic
11,2578,5,Qui.,KidsAutomotive,01.11.2023,10.11.2023 08:06:42,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Rustic Soft Cheese,True,0,Handcrafted
12,5212,1,Et.,ToolsGardenJeweleryBabyComputers,13.01.2023,10.11.2023 09:20:30,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Handcrafted Cotton Chips,True,0,Rustic
13,3011,4,Accusamus.,GardenBeauty,07.07.2023,09.11.2023 23:05:36,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Tasty Metal Hat,True,0,Incredible
14,7563,5,Eaque.,MusicHome,10.01.2023,09.11.2023 20:52:02,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Generic Frozen Mouse,True,0,Handcrafted
15,4189,1,Quod.,JeweleryHealthElectronicsGamesClothing,21.04.2023,09.11.2023 19:28:55,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Generic Wooden Computer,True,0,Unbranded
16,8736,4,Est.,SportsHealthComputersAutomotive,05.08.2023,09.11.2023 21:41:05,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Unbranded Frozen Bike,True,0,Gorgeous
17,8601,5,Et.,HomeMusicBooksGardenMusic,22.01.2023,10.11.2023 04:44:00,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Small Frozen Bacon,True,0,Incredible
18,3059,0,Similique.,Beauty,17.02.2023,10.11.2023 07:08:31,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Small Granite Soap,True,0,Incredible
19,4761,1,Quis.,BabyGardenMovies,04.04.2023,10.11.2023 03:25:58,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Incredible Frozen Shirt,True,0,Handmade
20,6472,4,Labore.,HealthIndustrialIndustrialBooksClothing,17.07.2023,09.11.2023 18:39:26,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Handmade Frozen Bacon,True,0,Handmade
21,4009,2,Provident.,Electronics,31.07.2023,10.11.2023 12:21:35,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Sleek Granite Ball,True,0,Refined
22,9356,3,Voluptatum.,Kids,10.04.2023,09.11.2023 20:05:12,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Unbranded Frozen Salad,True,0,Sleek
23,209,4,Vitae.,ClothingElectronicsOutdoorsTools,16.09.2023,09.11.2023 18:06:37,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Gorgeous Rubber Towels,True,0,Intelligent
24,9657,2,Saepe.,Home,25.01.2023,09.11.2023 14:50:46,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Awesome Concrete Pizza,True,0,Handcrafted
25,8890,5,Illum.,HomeClothing,31.07.2023,10.11.2023 09:25:06,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Refined Rubber Shoes,True,0,Incredible
26,6535,3,Blanditiis.,Industrial,03.03.2023,10.11.2023 03:52:19,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Gorgeous Fresh Pants,True,0,Handcrafted
27,8815,2,Rerum.,GardenHealthGarden,24.02.2023,09.11.2023 20:42:23,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Practical Rubber Tuna,True,0,Handmade
28,1002,3,Numquam.,Grocery,24.12.2022,09.11.2023 18:04:42,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Intelligent Rubber Sausages,True,0,Handcrafted
29,4138,1,Deserunt.,ComputersBooksToysKidsHealth,17.05.2023,10.11.2023 02:07:18,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Tasty Granite Pants,True,0,Fantastic
30,9181,1,Optio.,Kids,27.07.2023,09.11.2023 19:19:13,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Ergonomic Frozen Fish,True,0,Refined
31,9649,1,Eius.,ToysHealth,06.01.2023,10.11.2023 12:23:07,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Practical Concrete Chair,True,0,Incredible
32,1774,4,Ad.,SportsElectronics,22.05.2023,09.11.2023 19:36:12,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Licensed Metal Towels,True,0,Gorgeous
33,3761,4,Vero.,SportsMovies,28.07.2023,10.11.2023 00:09:26,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Gorgeous Fresh Pizza,True,0,Incredible
34,6395,0,Error.,BabyShoesMusic,14.03.2023,10.11.2023 10:57:22,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Generic Steel Pizza,True,0,Awesome
35,6633,1,Nesciunt.,HomeSports,30.11.2022,09.11.2023 15:08:15,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Fantastic Frozen Pizza,True,0,Intelligent
36,4734,2,Recusandae.,HealthGardenTools,06.10.2023,10.11.2023 12:07:59,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Incredible Frozen Chair,True,0,Practical
37,557,4,Modi.,Shoes,14.05.2023,10.11.2023 09:28:49,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Handcrafted Cotton Bacon,True,0,Gorgeous
38,2027,2,Voluptatem.,Kids,17.05.2023,09.11.2023 20:57:18,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Intelligent Metal Computer,True,0,Refined
39,7174,0,Quam.,BooksHealth,11.09.2023,09.11.2023 22:54:31,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Ergonomic Frozen Fish,True,0,Ergonomic
40,6741,1,Deleniti.,BabyElectronics,04.01.2023,10.11.2023 01:51:48,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Incredible Concrete Towels,True,0,Small
41,1595,1,Minima.,BabyComputers,29.12.2022,09.11.2023 22:27:40,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Small Frozen Salad,True,0,Awesome
42,3366,4,Omnis.,OutdoorsBooksBooksElectronicsJewelery,05.03.2023,10.11.2023 03:59:52,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Small Plastic Gloves,True,0,Incredible
43,8583,1,Voluptas.,HealthMovies,22.12.2022,10.11.2023 10:02:51,The Football Is Good For Training And Recreational Purposes,Ergonomic Soft Table,True,0,Tasty
44,9043,4,Ipsam.,Beauty,11.07.2023,10.11.2023 01:10:42,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Handcrafted Concrete Keyboard,True,0,Rustic
45,4457,2,Et.,HealthGarden,07.09.2023,10.11.2023 06:12:49,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Handmade Rubber Computer,True,0,Refined
46,19,0,Facilis.,SportsBeauty,09.06.2023,10.11.2023 03:36:55,The Football Is Good For Training And Recreational Purposes,Awesome Granite Pizza,True,0,Practical
47,3560,4,Iure.,GardenComputersGamesToys,28.05.2023,09.11.2023 22:04:18,The Football Is Good For Training And Recreational Purposes,Small Plastic Keyboard,True,0,Small
48,887,2,Dicta.,BeautyBooksTools,16.04.2023,09.11.2023 13:59:41,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fantastic Cotton Hat,True,0,Gorgeous
49,4936,2,Dolor.,MoviesShoesHomeSports,10.10.2023,10.11.2023 02:55:20,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Handcrafted Wooden Tuna,True,0,Licensed
50,5176,0,Nihil.,JeweleryToysOutdoorsGarden,21.06.2023,09.11.2023 15:44:46,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Awesome Concrete Soap,True,0,Intelligent
51,4810,4,Libero.,Grocery,30.09.2023,10.11.2023 02:58:48,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Sleek Steel Table,True,0,Fantastic
52,1670,0,Sed.,Sports,26.05.2023,09.11.2023 22:35:32,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Handmade Fresh Bike,True,0,Licensed
53,136,5,Sed.,ToolsOutdoors,24.05.2023,10.11.2023 11:43:54,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Small Rubber Chair,True,0,Handcrafted
54,3136,5,Ipsam.,Home,11.11.2022,10.11.2023 07:37:25,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Handmade Frozen Bacon,True,0,Sleek
55,1364,0,Et.,HealthJewelery,21.03.2023,10.11.2023 11:31:01,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Rustic Frozen Car,True,0,Small
56,6936,2,Voluptas.,MusicOutdoorsClothingAutomotiveToys,01.04.2023,09.11.2023 14:57:33,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Small Soft Computer,True,0,Awesome
57,5433,1,Maiores.,GardenBeautyClothing,08.10.2023,09.11.2023 22:51:39,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Sleek Plastic Shirt,True,0,Awesome
58,9308,2,Voluptatem.,MoviesSportsKidsSports,31.12.2022,10.11.2023 04:47:23,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Fantastic Steel Gloves,True,0,Handcrafted
59,8981,5,Provident.,Shoes,06.05.2023,09.11.2023 17:08:48,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Fantastic Metal Cheese,True,0,Unbranded
60,6651,4,Voluptas.,GamesGroceryKidsAutomotiveMovies,16.02.2023,10.11.2023 08:35:42,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Ergonomic Fresh Chicken,True,0,Licensed
61,2250,1,Alias.,BabyAutomotiveToysShoes,15.05.2023,09.11.2023 20:08:37,The Football Is Good For Training And Recreational Purposes,Practical Soft Hat,True,0,Rustic
62,3069,3,Aspernatur.,ElectronicsBeautyClothingBeauty,21.06.2023,10.11.2023 04:54:58,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handmade Steel Mouse,True,0,Fantastic
63,126,0,Possimus.,ElectronicsClothingClothingGroceryGrocery,15.08.2023,09.11.2023 13:38:42,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Practical Steel Chips,True,0,Refined
64,6341,5,Maiores.,GroceryMusicBeauty,13.05.2023,10.11.2023 12:04:33,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Generic Steel Keyboard,True,0,Rustic
65,5239,3,Ullam.,Movies,17.08.2023,10.11.2023 08:22:58,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Gorgeous Fresh Mouse,True,0,Sleek
66,9331,3,Sed.,KidsElectronicsMusicToys,27.06.2023,10.11.2023 09:17:20,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Incredible Fresh Shoes,True,0,Handmade
67,5415,4,Laborum.,Baby,11.05.2023,10.11.2023 07:22:57,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Refined Frozen Sausages,True,0,Gorgeous
