product_id,seller_id,data,qty_reserved,qty_available,created_at,active,order_count,updated_at,ytd
0,0,Sequi non voluptate aut eligendi.,0,728,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
1,0,Ut incidunt sed itaque qui.,0,855,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
2,0,Rerum nesciunt expedita eius nemo qui.,0,945,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
3,0,Sit voluptate molestias deleniti voluptatibus.,0,882,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
4,0,Officiis et quaerat consequatur eligendi velit temporibus unde qui rerum.,0,831,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
5,0,Iste magnam perspiciatis repellat ipsum consequatur eos.,0,319,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
6,0,Odio voluptate aliquid modi accusamus et nostrum aut ex.,0,165,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
7,0,Dolore animi nostrum fugit quaerat.,0,120,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
8,0,Sunt porro qui cumque earum in.,0,822,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
9,0,Est voluptatum dignissimos laudantium sed non in eum pariatur.,0,657,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
10,0,Rem suscipit cumque aut repellat et nihil in tenetur.,0,524,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
11,0,Aut occaecati officiis tempora et eum saepe commodi.,0,454,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
12,0,Sit est eos facilis.,0,195,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
13,0,Omnis qui et ipsam id voluptas doloremque velit.,0,52,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
14,0,Eaque ut illo.,0,766,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
15,0,Impedit nulla ratione dolorem dolores.,0,949,11/10/2023 13:20:41,True,0,11/10/2023 13:20:41,0
