product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,6142,5,Rerum.,GardenClothingToolsBooksMusic,10.09.2023,08.11.2023 02:05:16,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Fantastic Cotton Tuna,True,0,Rustic
1,2492,3,Illo.,JeweleryBeautyShoesBaby,18.09.2023,08.11.2023 20:00:36,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Ergonomic Fresh Bike,True,0,Tasty
2,1024,2,Sint.,BooksGamesGamesGames,20.03.2023,08.11.2023 23:28:34,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Generic Metal Tuna,True,0,Incredible
3,2548,4,In.,ElectronicsBooksBooksToysGrocery,18.06.2023,08.11.2023 01:54:31,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Practical Cotton Cheese,True,0,Ergonomic
4,4662,4,Magnam.,JeweleryComputersClothingSports,12.08.2023,08.11.2023 06:26:31,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Practical Wooden Chair,True,0,Ergonomic
5,8799,0,Velit.,ElectronicsElectronics,17.10.2023,08.11.2023 16:35:02,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Licensed Concrete Ball,True,0,Gorgeous
6,1921,1,Perspiciatis.,HealthGamesHealth,14.05.2023,08.11.2023 07:27:39,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Sleek Wooden Sausages,True,0,Unbranded
7,3568,4,Quasi.,Sports,09.12.2022,08.11.2023 02:11:45,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Tasty Granite Shoes,True,0,Unbranded
8,3601,2,Quasi.,MusicKidsJewelery,23.07.2023,08.11.2023 22:19:08,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Unbranded Rubber Bike,True,0,Handcrafted
9,617,2,Qui.,GroceryMoviesHomeElectronics,10.05.2023,08.11.2023 08:11:51,The Football Is Good For Training And Recreational Purposes,Rustic Cotton Shoes,True,0,Ergonomic
10,2214,4,Quo.,GardenMusic,23.03.2023,08.11.2023 01:55:24,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Frozen Shoes,True,0,Unbranded
11,4250,2,Voluptatem.,Industrial,31.07.2023,08.11.2023 07:24:32,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Awesome Rubber Fish,True,0,Awesome
