product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,177,2,Natus.,ComputersSportsKidsOutdoors,31.07.2023,09.11.2023 14:44:27,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Handmade Rubber Sausages,True,0,Small
1,9611,4,Distinctio.,Electronics,08.02.2023,10.11.2023 07:19:15,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Sleek Steel Sausages,True,0,Small
2,7741,3,Laborum.,ClothingElectronicsGames,18.08.2023,10.11.2023 09:42:13,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Small Rubber Chips,True,0,Small
3,3834,4,Quibusdam.,MoviesElectronicsShoesMovies,23.03.2023,09.11.2023 21:40:54,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Tasty Concrete Gloves,True,0,Small
4,9068,5,Rerum.,Shoes,01.03.2023,09.11.2023 15:21:57,The Football Is Good For Training And Recreational Purposes,Refined Frozen Cheese,True,0,Unbranded
5,5332,5,Occaecati.,Beauty,02.12.2022,09.11.2023 18:41:17,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Rustic Granite Pizza,True,0,Tasty
6,6868,2,Veritatis.,SportsGardenShoesSportsShoes,15.09.2023,09.11.2023 22:20:02,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Awesome Steel Chicken,True,0,Intelligent
7,9468,3,Quam.,ToolsJeweleryClothing,20.01.2023,10.11.2023 11:12:00,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Handmade Steel Bike,True,0,Awesome
8,696,5,Velit.,Electronics,10.11.2023,09.11.2023 14:38:00,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fantastic Frozen Towels,True,0,Refined
9,9115,0,Beatae.,ComputersGardenTools,14.06.2023,10.11.2023 05:33:18,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Small Cotton Hat,True,0,Unbranded
10,367,0,Aperiam.,SportsGamesKidsIndustrialOutdoors,16.07.2023,09.11.2023 20:22:13,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Fantastic Frozen Hat,True,0,Tasty
11,1249,4,Quis.,HomeKids,10.09.2023,09.11.2023 18:38:10,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Sleek Metal Tuna,True,0,Practical
12,435,0,Odit.,HomeShoesGroceryGardenHealth,28.05.2023,10.11.2023 11:31:37,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Handmade Frozen Shoes,True,0,Tasty
13,8804,4,Ut.,AutomotiveGardenIndustrial,19.11.2022,09.11.2023 20:10:17,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Handmade Concrete Mouse,True,0,Handcrafted
14,6119,2,Dolor.,JeweleryGamesOutdoorsToys,07.12.2022,10.11.2023 12:19:12,The Football Is Good For Training And Recreational Purposes,Handmade Rubber Towels,True,0,Small
15,8381,1,Quia.,ToysBooksBooksBaby,29.11.2022,09.11.2023 19:41:02,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Fantastic Plastic Tuna,True,0,Tasty
16,8004,2,Cupiditate.,MusicSportsIndustrialShoesJewelery,24.11.2022,09.11.2023 22:36:07,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Unbranded Fresh Sausages,True,0,Rustic
17,5078,1,A.,Games,12.02.2023,09.11.2023 21:02:58,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Handcrafted Fresh Pants,True,0,Generic
18,1770,5,Asperiores.,Outdoors,22.11.2022,10.11.2023 12:36:26,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Ergonomic Cotton Tuna,True,0,Gorgeous
19,6286,2,Similique.,GroceryShoesBabySportsComputers,22.03.2023,10.11.2023 03:56:29,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Fantastic Rubber Tuna,True,0,Tasty
20,2079,1,Velit.,ToysGardenOutdoorsHealthHome,10.07.2023,09.11.2023 16:41:58,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Handcrafted Soft Gloves,True,0,Intelligent
21,993,5,Cum.,HomeOutdoorsJeweleryHome,18.11.2022,10.11.2023 01:23:51,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Handmade Wooden Computer,True,0,Handmade
22,2836,5,Quia.,GardenGamesMovies,16.02.2023,09.11.2023 20:07:55,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Handmade Metal Fish,True,0,Unbranded
23,9839,1,Aut.,ClothingOutdoorsIndustrial,12.07.2023,10.11.2023 00:29:52,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Intelligent Plastic Towels,True,0,Tasty
24,780,2,Vitae.,MusicHealthAutomotive,31.10.2023,10.11.2023 07:10:35,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Small Fresh Tuna,True,0,Small
25,229,2,Nam.,AutomotiveOutdoorsComputersHomeElectronics,04.05.2023,10.11.2023 07:15:33,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Handcrafted Fresh Chicken,True,0,Intelligent
