Quantity,product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
8317,932,363,2,Quia.,OutdoorsHealth,25.01.2023,28.09.2023 11:16:37,The Football Is Good For Training And Recreational Purposes,Sleek Frozen Chips,True,0,Unbranded
5356,479,4168,3,Numquam.,JeweleryOutdoors,06.01.2023,28.09.2023 10:46:09,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Licensed Concrete Chips,True,0,Ergonomic
969,602,9880,3,Molestiae.,JeweleryHealthSports,17.02.2023,28.09.2023 22:25:51,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Generic Rubber Mouse,True,0,Licensed
5077,487,6081,4,Doloribus.,ClothingComputers,20.02.2023,28.09.2023 12:27:05,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Handmade Cotton Tuna,True,0,Intelligent
7741,323,4172,5,Ipsam.,Health,11.05.2023,28.09.2023 22:01:03,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Awesome Soft Bacon,True,0,Unbranded
48,950,730,3,Quo.,KidsBeautyHealthGardenAutomotive,14.12.2022,28.09.2023 13:16:31,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Practical Rubber Gloves,True,0,Small
1542,818,4856,1,Aliquid.,OutdoorsKidsElectronics,07.12.2022,28.09.2023 04:40:45,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Incredible Cotton Shirt,True,0,Fantastic
7996,278,4976,5,Magni.,IndustrialGroceryBeautyShoes,03.06.2023,28.09.2023 04:56:29,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Small Rubber Pants,True,0,Licensed
83,396,3625,3,Reiciendis.,OutdoorsMusicElectronicsHomeOutdoors,23.06.2023,28.09.2023 12:33:17,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Tasty Fresh Tuna,True,0,Rustic
3659,707,7411,5,Deserunt.,HomeHealthHome,26.02.2023,28.09.2023 03:22:29,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Intelligent Soft Ball,True,0,Awesome
3555,21,4348,5,Iure.,SportsHealthComputers,02.11.2022,28.09.2023 21:36:00,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Generic Granite Shoes,True,0,Intelligent
4628,538,6461,0,Nesciunt.,Baby,03.10.2022,28.09.2023 10:52:21,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Licensed Wooden Salad,True,0,Handcrafted
4144,110,1468,2,Quia.,AutomotiveKidsKidsGarden,24.08.2023,28.09.2023 03:21:59,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Awesome Cotton Cheese,True,0,Handmade
9425,850,6909,3,Possimus.,BeautyBaby,02.01.2023,28.09.2023 02:36:20,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Rustic Granite Gloves,True,0,Handcrafted
1325,102,3968,0,Officiis.,HomeHomeMoviesBeauty,13.04.2023,28.09.2023 16:53:35,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Steel Sausages,True,0,Fantastic
5993,217,3022,5,Magni.,HealthToys,02.10.2022,28.09.2023 16:03:31,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Tasty Concrete Mouse,True,0,Handcrafted
9476,302,681,2,Ipsa.,ToysOutdoorsGrocery,20.04.2023,28.09.2023 23:05:10,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Practical Granite Gloves,True,0,Tasty
1889,147,2247,0,Consequuntur.,SportsElectronicsMusic,20.06.2023,28.09.2023 18:21:57,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Generic Cotton Shirt,True,0,Gorgeous
4049,135,5624,4,Nisi.,IndustrialGardenToolsSportsShoes,22.04.2023,28.09.2023 10:59:45,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Sleek Cotton Tuna,True,0,Handcrafted
7540,755,3315,0,Eum.,ClothingGardenSportsElectronics,10.11.2022,28.09.2023 17:01:04,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Handmade Frozen Towels,True,0,Intelligent
169,19,3730,5,Sint.,ToolsOutdoors,31.08.2023,28.09.2023 19:37:30,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Awesome Rubber Pizza,True,0,Incredible
4426,796,4087,2,Alias.,Outdoors,15.07.2023,28.09.2023 17:06:34,The Football Is Good For Training And Recreational Purposes,Ergonomic Wooden Soap,True,0,Handcrafted
8157,397,8157,2,Quisquam.,Beauty,31.03.2023,28.09.2023 08:43:27,The Football Is Good For Training And Recreational Purposes,Fantastic Rubber Bike,True,0,Handcrafted
2401,943,1183,3,Labore.,OutdoorsGroceryKidsOutdoors,03.09.2023,28.09.2023 15:05:20,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Rustic Soft Tuna,True,0,Generic
2927,329,4516,5,Saepe.,Electronics,07.05.2023,28.09.2023 15:51:31,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Generic Frozen Shirt,True,0,Fantastic
7763,162,4380,5,Tempore.,BeautyMoviesHomeBaby,25.02.2023,28.09.2023 22:12:36,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Ergonomic Metal Car,True,0,Practical
